用户,星级,评论
NzL649192923,5.0,服务好羊肉火锅好吃 #秘制酸梅汤# #麻酱小料# #极品羊肉# #精品肥牛# #宽粉# #火锅# #蔬菜拼盘# #特价肥牛# #菌类拼盘#
逍遥游789,5.0,菜品味道不错，服务态度特别好，服务人员特别热情
匿名用户,5.0,来了很多次啦，013的阿姨服务态度特别好，特别亲切，让人有一种回家的感觉，店里羊肉的味道特别正宗，木耳特别好吃，菜品都不错，推荐大家来~ #秘制酸梅汤# #极品羊肉# #蔬菜拼盘#
匿名用户,5.0,很棒，工号013阿姨很热情，很周到。菜量很足，满意。
感悟人生gy,5.0,非常好吃，服务热情周到，环境舒适
芳丫丫丫,5.0,经常去他家  一如既往的好  菜品新鲜  服务贴心  环境优雅 #宽粉# #菜汁面# #大拌菜# #手打鱼滑# #麻团# #牛腱子#
nHB242522470,4.0,服务热情、周到，环境不错、上菜快、肉类品质有保障，还会专的。
匿名用户,5.0,013号大姐服务特别热情周到，菜品质优价廉，棒！
守候与维一,5.0,爸爸刚来北京，今天带爸爸出来吃点好吃，所以选择了这家店，之前跟朋友一起来过，所以今天带爸爸过来，刚坐下，服务员就过来给我们点餐，点完餐，菜一会儿就上了，上菜速度挺快的，特别是服务员工号066态度特别好，也特别周到，看到她不停的在忙，挺辛苦的，女孩也特别好，下次还会推荐朋友过来，
匿名用户,5.0,菜品好、价格实惠，服务👌，已经连续吃三次了，强烈推荐
uan797720236,5.0,太划算了，阿姨服务态度也特别好，送了我们一份凉菜，买单后又送了我们每个人一个冰激淋小布丁，下次还来哈哈
zh51037,4.0,肉质细嫩鲜美，服务热情周到，环境优雅。
gUw102619839,5.0,工号013的姐姐很热心、很体贴哦，店里停电了还帮我们拿雪糕吃，送了水果盘，大赞，下次来北京必须还来！！！ #极品羊肉# #精品肥牛# #麻酱小料#
不许流泪836,5.0,不错，很满意，口味也挺正的，里面还有小吃，饮料！服务周到，013号服务员服务挺好的，很及时帮忙加汤，询问的菜单也很仔细！经常来这家吃饭，门口有停车位！
VUK835348275,5.0,013大姐服务特别周到，强烈推荐
邹豆豆123,5.0,体验感💯。传统京味火锅。香辣味好好吃。006 号员工超贴心，交流中得知是暑期兼职的学生，新员工都培训地这么棒！饭后送了果盘和小布丁雪糕。超级满意！
Bvp403260434,4.0,对于四个大小伙子来说套餐里的菜有点多，要是能换成肉就好了
诸葛笨笨121,5.0,013超级好，太好吃，服务堪比海底捞，分量超级足，还剩了好多
iMQ195519301,5.0,013大姐服务态度好、热情服务周到、送水果、菜品有特色、照顾小朋友贴身
