区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
叮咚是叮咚,4.0,2018-01-11 10:47:19,老店老味道，就是调料楼上楼下跑真麻烦
ScJ797686227,4.0,2018-01-11 17:43:21,可以的，比较地道四川味道
出差就是苦,4.0,2017-12-01 10:24:23,还不错吧，中规中矩，调料不错，价格略贵还可以吧。
AZk514898832,4.0,2017-12-29 21:39:26,味道好，每次开车好远跑去吃，真的非常好吃
呼呼哈哈哟,2.0,2017-12-24 13:04:38,还行吧，就是分量太少了！口味不错
匿名用户,2.0,2017-11-27 14:38:37,味道一般、菜品的价格太贵分量少、一份土豆就六片、服务员态度差根人欠了她钱似的、在那里看电视叫了几声也不理人、肯定不会去第二次、
fXr485992187,4.0,2017-12-18 16:51:10,味道不错，菜品比较齐全，态度好，有点老家火锅味道。
LcV229005473,2.0,2017-12-23 09:45:47,口味一般，没什么好吃的，偶尔吃吃还可以
xuehefeng,3.0,2017-12-17 19:37:26,价钱的确比较便宜，口感一般般。
DyT234101224,2.0,2017-12-12 18:55:43,一般般吧，有点小贵。不太好，。
匿名用户,4.0,2017-12-03 16:47:33,够辣  够爽，对于两个人吃锅底可以稍微小点，太大盆了
zhen15295068854,1.0,2017-11-28 10:54:21,总之很不满意的一次用餐，态度太恶劣
林夕lz,2.0,2017-11-15 13:54:51,味道挺好，人很多，就是不喜欢没有用酱料非说我用了，闹了点不开心
yFG336717396,3.0,2017-11-15 21:28:37,味道还可以 就是菜量少了点   一楼调料有点少
OXl133362642,1.0,2017-10-30 15:03:31,吃坏了肚子，碗马上来就很脏，油也不好，吃得恶心。大家千万不要去。
ppmmhuilin123,1.0,2017-10-22 23:40:31,服务员估计是老板家亲戚，脑子不灵光，以前的常客以后不会去了……
Xun573054159,3.0,2017-10-14 11:44:14,好吃好吃，有一个服务员态度不咋滴，叫她她老是不理人，估计心情不好吧
hrX516321096,1.0,2017-07-11 01:51:17,身为一名火锅达人，我要专业的评价一下。本来想去辣满庭的，因为离我近，结果装修。所以搜到了它家。临江门。环境一般。服务员态度还可以。价格偏高！量还少。一个蟹肉棒。冷冻的。海霸王的 要20元一盘。所以我也没点。外面五元一堆。说我最大的感受吧！就是火锅的定价和它家的环境和菜品不成正比！评论好吃的我不知道怎么想的。可能没吃过别人家火锅吧？另外说一句：火锅调料也单一。不太新鲜。 最后一句：奉劝大家。 试都不要试！后悔死你。
