区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
mHh421100151,5.0,2015-09-29 14:46:30,位置很好，七宝最热闹的地方，在万科花园的对面，去的比较早，不用排队，上菜速度也很快，值得一说的是他家的味道，够辣，够麻，我是四川人，好久没吃过这么正宗的重庆火锅了，我和侄子吃的很开心，吃的好饱呀，哈哈，下次还来这里 #鲜毛肚# #鹅肠# #鸭肠# #炸豆皮# #时蔬拼盘# #毛肚# #午餐肉# #重庆鸳鸯锅# #四川宽粉# #羊肉卷# #羊肉# #油炸豆腐皮#
Shirley991226,4.0,2016-01-23 22:56:58,35年难遇的寒潮，让这家店的生意更火爆了！
zYJ221558751,5.0,2015-12-10 09:10:11,七宝老街附近。跟同事逛街逛累了。又突然想吃火锅。正好看到有团购。就来了。不过感觉餐具不太干净。倒饮料的杯子都是脏的。反正以后不会再去了。服务员也是。还没吃完呢就催我们走了！！不开心！不过来吃的人也是很多的。火锅非常麻v
gAI783578523,3.0,2016-01-23 18:40:59,味道还不错啦 性价比比较高 不错
kaikailing,5.0,2016-01-16 07:46:10,好吃！实惠！味道纯正！就是这个味！交通方便！地铁公交直达！下次再来！
匿名用户,3.0,2016-01-22 23:10:44,味道很不错，经常光顾，就是环境和服务一般！！！！
guZ99135356,4.0,2016-01-23 18:12:55,好好吃，好味道，下次还去，然后凑字数
awei12380,4.0,2016-01-23 18:34:45,味道还不错的，味道正宗。吃得我上火。
tjszhsteven,3.0,2016-01-22 17:52:51,口味很纯，环境一般，服务一般。
Sonngoku,3.0,2016-01-20 22:40:37,辣，好辣啊，好热，好辣，好热辣
丿任小男,4.0,2016-01-11 13:27:58,总体还行，环境没有莘庄那家好。味道还可以。坐的楼上。调料在楼下，不方便
yfg477845351,5.0,2016-01-21 17:53:03,很好吃的火锅，团购很多次了！超值
范茜茜111,1.0,2016-05-31 16:37:46,今天的锅子太辣了平时吃的不是这样的
匿名用户,3.0,2015-10-17 16:54:00,周六中午去吃的，不用排队，人还挺多的，团的108四人份，但是两个人也吃完了，感觉三个人吃是比较合适的，因为我自己本身是大胃王，男朋友也比较能吃，所以都吃完了，还挺饱的，菜品还比较新鲜，以后有机会还会考虑。
Grk638758188,2.0,2015-12-26 00:17:42,还行吧。之前在莘庄吃的，感觉比较划算，七宝这个店，人是挺多的，服务员太少了。而且菜品的量和我在莘庄吃的也不一样。#红油#
匿名用户,3.0,2016-01-19 22:13:18,菜不错，也合算的，经常吃了，推荐！！
匿名用户,4.0,2015-12-25 14:35:14,因老妈是四川人的缘故，这家火锅还是很正宗的，特别是担担面，连老妈吃了都说赞，美团套餐价很实惠的说，3-4人才108元，实惠，已经是第六次跟朋友来了~
卡布奇诺一挥,5.0,2015-12-15 13:35:51,很好，味道很好，第一次去很好，喜欢，五个人吃花了两百多，很饱
匿名用户,4.0,2016-01-19 18:57:18,菜品很不错，就是周末人太多去晚了就要排队
D133334,5.0,2016-01-09 12:49:17,很不错的味道，环境也可以，服务很好，我们两个人根本吃不完
H77331,5.0,2016-01-16 11:36:50,优惠的，就是环境待改善了，有些年头了
墨雪魂曲,4.0,2016-01-19 19:14:12,总体来说还不错，只是有点吵。不太安静。
DMW908150888,4.0,2016-01-18 12:58:33,味道还不错，生意挺忙，赞赞赞哒
eOc520756890,3.0,2016-01-15 10:48:29,两个人吃的挺饱的，味道不错，这个价位挺可以的，人也挺多。
yb双,3.0,2016-01-13 17:20:22,关键是实惠，划算，值得亲们都去一试
jessie0758,3.0,2016-01-08 22:46:47,三个人去吃的，真不错，适合瘦子吃，饭量再大点就不行了
匿名用户,4.0,2016-01-12 11:17:55,不错的，一直喜欢他家的比较正宗的四川火锅！
娟子美丽,5.0,2015-12-30 20:22:02,味道还是可以的，之前经常去，没有团购，这次用了次团购，两个大人加一个小孩还是够吃的，加了一份炒饭，吃得很饱。
uuD776158850,1.0,2016-05-31 16:37:46,一般般，店主在待改进，菜品，服务意识得提高
达人666,3.0,2015-11-24 18:52:28,已经是第三次去吃了，我和同事两个人吃，没有吃完。总体来讲味道还是不错！
槿美人旗袍,5.0,2016-01-07 12:45:32,非常不错，菜量很可以，美团订购的，超级实惠
小明jack,5.0,2015-10-24 15:00:32,老婆晚上打电话说，她超级想吃火锅，看了一圈，这家评价不错，就团了一张，价格不错，有优势，不过，这个菜嘛，如果是三个女的，不是超级能吃的还可以。如果有一个吃货，估计就悬了。现在回想，我午饭吃的晚还是好的，不用跟老婆和她的朋友抢了，嘿嘿
Ibp188046369,4.0,2016-01-11 17:17:46,服务太多还蛮好的，口味也比较正宗，
mhV907444476,3.0,2016-01-06 12:31:42,不错，距离也挺近，也很好找，不需要排队，照片太久了，删掉了
张张张小宾,4.0,2016-01-10 17:58:32,还不错还不错还不错还不错还不错还不错
范茜茜111,4.0,2016-01-05 15:40:26,很好吃一直这个好味道，，还在那天过得生日，服务态度很好
LJulius,5.0,2016-01-01 12:25:21,酒酿圆子女朋友说很好吃，调料很全，服务挺好的，就是味道很重
Mii619881688,2.0,2016-01-06 15:22:55,环境不是很好，感觉有点脏，口味也没以前好了
匿名用户,5.0,2016-01-05 16:24:10,性价比很高，味道也很好，已经去了好多次！
Shirley991226,4.0,2016-01-04 18:51:57,一直来这家店吃火锅，味道很喜欢，服务态度也很好！
Xsvvvv,2.0,2016-01-06 20:40:44,菜还行，有些服务员态度不好。下次考虑
芳华9985321,3.0,2016-01-06 12:34:09,生意很好，感觉挺不错的，离家也近
CMz69572938,5.0,2016-01-05 13:21:59,中规中矩吧，两个人消费180元 其实价格有点小贵
匿名用户,5.0,2016-01-08 19:41:55,真的不错嘛，现在才记起来去评价，哈哈哈哈哈哈
Qii685015468,3.0,2016-01-09 16:10:17,很实惠，。。。。。。。。。。。
_qqsw71347501749,4.0,2015-12-30 15:19:56,团的最多的就是这个，老公我俩很喜欢吃火锅，辣辣的，味道不错
HUd61761272,3.0,2016-01-04 12:34:37,生意太好了每次去都要排队。调料也不错。
tZC301848441,3.0,2016-01-05 16:04:35,还行，都挺不错的。吃了很多次，经常来的。
iwA824559529,2.0,2016-01-01 16:30:06,四人套餐，我们两个女的去吃都不够。还有就是非常的辣
MGL177942506,3.0,2015-11-24 07:58:52,位置不错！需排队！莱量还行！口味点赞
delfware,3.0,2015-12-31 18:35:54,环境一般，吃的还行，但是不想去第二次了。
Sai333265296,4.0,2015-12-30 16:56:17,口感不错，环境还行，关键是实惠，地方很好找
roonyjing,3.0,2016-01-02 12:13:57,味道不错，团购4人的量，很划算。
匿名用户,5.0,2015-12-30 16:51:52,不用排队，服务和上菜速度都是非常好！
wRF496118055,3.0,2016-01-02 10:21:43,经济实惠的一款团购，2个人足够。
uoB242537784,3.0,2015-12-27 21:16:06,不错，请朋友吃的，加了菜，四个人吃了200多，还算实惠，赞一个
白多黑熊猫,3.0,2015-12-24 08:46:33,还可以吧，口味还行，刚好我们去的时候没人，不用排队了，感觉还是蛮实惠的。
_qqsw71347501749,4.0,2015-12-30 15:27:13,又团啦！就是禁不住火锅的诱惑！好吃好吃好吃
yfg477845351,3.0,2015-12-29 19:13:24,去过很多很多次啦！味道超级好、团购比较划算
SWm233993548,5.0,2015-12-31 18:32:21,味道不错，口味挺好，值得一去。
EPR783122726,4.0,2015-12-27 18:19:34,味道好 环境还可以 菜量足够辣
XRz652256721,3.0,2015-12-26 12:10:42,我们去的早，不用排队，就是量有点少，不够3个人吃，可能我是个吃货吧
匿名用户,5.0,2015-12-27 19:48:47,环境不错、服务员态度也很好！团购很划算！
SOf491146329,3.0,2015-12-27 11:16:56,价格适宜，环境还是不错的，口味也挺好的
yOz848278115,4.0,2015-12-20 09:21:51,好吃，吃了再想吃，连去了好几次了！#午餐肉# #鸭血# #羊肉卷# #四川宽粉# #重庆鸳鸯锅#
chengege_,2.0,2015-12-25 11:43:05,一般 酱太少 分量也不多 饮料也不行
pekoepoon,5.0,2015-12-13 12:11:18,口味好，饮料足，上菜快，环境热闹也很不错。唯一问题就是，味道很重，在衣服上
开心宝贝TWO,2.0,2016-05-31 16:39:17,味道一般，以为是成都临江门火锅那种味道，给店家一个建议把香油换了，你们的香油把碟子全部毁了，一点不香，这种味道虎虎上海人还行，哈哈
匿名用户,2.0,2015-12-19 10:13:19,服务一般，菜量比较少，锅底还可以，饮料自取另外收费
匿名用户,2.0,2015-11-26 11:13:31,我们是中午去吃的，一楼不给坐，让坐二楼，结果一层就一个服务员。要了瓶饮料要了三遍，拖了半个多小时才拿来。拿来的时候饭都快吃完了。晚上回来老公就拉肚子了。第二天我也拉了。
xLOcandy,4.0,2015-12-24 18:29:07,还不错的，重庆火锅，味道还是不错的！
匿名用户,3.0,2015-12-14 00:30:18,不错的火锅选择，两个人买了团购套餐，还加了100块的菜，所以人均100差不多。味道挺正宗的。
一定没有这一个,3.0,2015-12-19 21:21:49,三个人再加两盘肉就够了。但是猪肉的品质极差
qms787892996,3.0,2015-12-17 18:55:06,味道不错，第三次来了，很好吃，够辣够味道。特别是酸菜炒饭特好吃
vIL479626494,3.0,2015-12-24 12:04:51,饮料要自己去取，没有可以装饮料的容器
leebbjl,5.0,2015-12-23 10:54:54,挺不错的，一如既往的好，百吃不厌
匿名用户,2.0,2015-12-21 20:21:17,还不错，当时人特别多，排队排了一会，环境还行
匿名用户,5.0,2015-12-21 20:56:43,还不错，就是4人量，像2人量，不过还是比较满意
ZeL406968839,5.0,2015-11-16 19:42:30,两个人吃刚刚好，3个人就要加菜了！味道不错的，我以前就喜欢吃它们家火锅，这个网购很划算，下次还带朋友去
Ibp188046369,4.0,2015-11-29 15:25:26,很好的口味环境下次继续光临，服务态度也蛮好的，
匿名用户,5.0,2015-12-16 15:31:06,口味很好，菜量也多，还不需要排队，服务态度也很
ganyazhen,2.0,2015-12-09 09:50:50,我个人吃过的最不好吃的火锅了，味道一般，环境一般，服务也一般。失望
匿名用户,5.0,2015-12-09 23:46:45,不错 味道挺好的 感觉套餐里面的不够三人吃吧 很划算
匿名用户,2.0,2015-12-13 15:10:11,火锅太辣，环境太闷了，但是味道不错的，性价比不高，
yOz848278115,4.0,2015-12-20 09:24:18,吃了再想吃！^_^以后还会去吃！
iPW325436765,4.0,2015-12-17 15:50:37,来过很多次了，每次都要排队，一如既往的好
CqX786442520,5.0,2015-11-17 16:57:52,麻辣味正宗！够劲！服务态度好！
星语0810,4.0,2015-12-14 21:25:48,经常来这边吃，味道很不错的，下次还会来
匿名用户,4.0,2015-12-13 18:06:13,味道不错，所以格外火热，卫生情况一般，服务一般
VRX326764084,3.0,2015-11-05 15:59:20,以前从来不去评价，不知道浪费多少积分，自从美团积分可以抵现金的时候，才知道积分的重要。后来我就把这段话复制了，走到哪，复制到哪，即能赚积分，还非常省事；特别是不用认真的评论了，又健康快乐能么么哒。赞\(≧▽≦)/
idchanglafeng,5.0,2015-12-10 00:02:06,真的不错，妈的，不过当时只有我有4g信号，所以我团购的，妈的，坑
miz20470682,2.0,2015-12-13 11:36:33,就是送的菜太少了。味道还是不错的哦
赵春玲84,4.0,2015-12-12 07:46:50,离家挺近的，我们团的108元的两个人吃刚好吃撑了
jiaoshanelan,5.0,2015-12-14 12:55:18,很多次了…味道很好，还会去吃。
习惯失败,1.0,2016-05-31 16:38:29,拉拉拉的我菊花都疼  括约肌疼的受不了  只想说以后不想去了
xuans361,3.0,2015-12-07 17:34:53,味道还不错，环境挺好的，牛羊肉比较新鲜
LSv849390062,3.0,2015-12-15 10:46:20,还可以。。。。。。。。。。。。
TTTyoo,4.0,2015-12-10 22:02:30,老火锅，经常吃，口味不错的。。
zhouxue001,4.0,2015-12-12 15:42:02,不错，味道好O:-)，价格也实惠。
璐萍千萌,5.0,2015-12-09 15:39:24,很正宗的四川火锅，推荐担担面!
子易MT,4.0,2015-11-29 16:10:06,还不错，相对来说量够两个人吃的，四人份就呵呵了，味一般吧，偶尔去一次还是可以的。
苟延艳,2.0,2016-05-31 16:38:30,菜品量少，但味道不错，值得去吃！
匿名用户,5.0,2015-10-12 20:55:10,美味牛肉羊肉，宽粉豆腐皮还有鸭血小菜，这是第四次吃，昨天前天上前天都去了，辣椒很够味，红油也挺好看，不过味道确实好，调料很多很丰富，从来没去过的人可以去试一试，不知道那个调料里面圆圆的东西是什么，草果吗？
fenghlp2000,4.0,2015-12-01 16:33:37,实惠，朋友推荐的，四个人吃了194元，用了一张团购券，蛮划算的
匿名用户,2.0,2016-05-31 16:38:29,味道一般，没有我想象中的那么好吃
匿名用户,5.0,2015-09-08 19:31:42,已经不是第一次吃了，去过好多次了。四人吃不够，所以两个人吃的，撑死了，牛羊肉吃着真爽，推荐去平仓。怎么还没一百字，图倒是多了去了，真麻烦，还不能用，有没有哪位大神评论这个美团订单有妙招的，尤其是这个字的问题。
可爱小野狼,5.0,2015-12-01 17:09:38,味道棒棒的。老板人也特别好下次还会去
troopsiu,1.0,2015-11-26 17:32:20,显然这么久了还记得。不是好就是差。但是说实话不怎么好。第一盘上菜就有蚊子。哎
关雅娇,4.0,2015-12-03 23:20:15,超级好吃的一家火锅店，来了n次依旧吃不腻
匿名用户,2.0,2015-11-29 18:50:03,挺好的，服务态度也很好，上菜也快，最主要是味道真心不错哦
zhangjing_2000,4.0,2015-11-30 10:30:11,菜可以，但环境不是很好，但价格实惠的。
chenyajun09,4.0,2015-11-25 11:50:46,服务很周到，环境优雅，上菜速度快，味道很巴实，很安逸，下次还会去。
匿名用户,2.0,2015-11-30 12:19:10,家门口的一个火锅店，因为近就去了，感觉一般吧。
匿名用户,3.0,2015-12-02 12:03:53,味道做的很好。但是环境得改善下了
MjJ336001635,3.0,2015-11-29 20:21:12,还不错，味道刚好，吃的挺开心。麻辣火锅
Sdo152486550,3.0,2015-11-27 14:26:41,口味一般，吃完坏肚子了，东西不多，2个人吃不太够
棉花糖964,3.0,2015-11-20 10:00:38,味道不错，菜量大，团购的四人餐两人吃，本以为不够吃，结果就又单独点了点，最后就是白白浪费掉了。
心若在爱,5.0,2015-11-30 14:54:29,十分不错，安全卫生，菜品齐全，员工随时准备，
水仙312,1.0,2016-05-31 16:39:17,进去没人招待也就算了 那个短头发新来的女的 我欠你钱吗？ 一脸不耐烦 再也不去了
匿名用户,5.0,2015-11-24 14:28:47,四人份的量碰上胃口好的两个人都不够吃 但是味道还不错
带我吃.,2.0,2015-09-20 16:19:41,上菜很快  份量也够 团的四人的 两人吃刚好够 坐的靠窗位置 很舒服 味道还是蛮好的 位置也很好 在七宝乐购对面 吃了还可以去逛逛  我们点的鸳鸯锅 清汤里面的黄瓜很好吃 还有调料那些都很齐全 想要的都有 确实很不错
呆头鹅1号,4.0,2015-11-27 10:27:25,味道还可以  分量少了点  适合两个人吃
OvK870668261,3.0,2015-11-26 17:08:48,味道不错，偏辣的！就是价格稍微有点贵！
cp椰子,3.0,2015-11-21 21:48:38,味道还是可以，4人团购套餐，适合两人的，上菜速度，请做好心里准备，蛮慢的，
心有千千结1972,5.0,2015-11-19 09:00:18,真心不错！十几年一直在他家吃，味道超赞！喜欢麻辣的朋友可以去看看，不虚此行！
wlinkiq,3.0,2015-11-28 22:49:43,讲真，没有原来在天津总去的那家好～
yfg477845351,5.0,2015-11-18 16:41:33,味道很好，吃火锅必须去他家！很远的地方赶过去隔一段时间就会去一次
hef684223619,5.0,2015-11-21 21:36:12,108两个人吃不完，我算大胃王了，味道很不错，就是太麻啦
yfg477845351,5.0,2015-11-18 16:39:38,很喜欢这家火锅吃了很多火锅店就这家味道最好，已经去过很多很多次啦！团购超划算
艾米yu,5.0,2015-11-21 19:30:50,特别好哦。 味道也不错。 下班五个同事去的
米夏悠悠,4.0,2015-08-09 17:57:36,两个女生去吃，很撑~~觉得这个团购券比较适合两个能吃的，或者三个女生~~火锅特别大，其他的量都一般~饮料跟调料都是自助的~我们吃的鸳鸯锅，中辣就已经很辣了……油炸豆皮，鸭血，宽粉都很好吃，七宝这边的店也不用排队，环境不错。#宽粉# #炸豆皮# #重庆鸳鸯锅# #四川宽粉#
EX少帅,5.0,2015-11-23 11:07:07,火锅量比较大，清汤推荐，速度比较快
心有千千结1972,4.0,2015-11-19 08:59:15,一直是他家的忠实食客，十几年来不断地在他家吃，一如既往的好！
mkceolrl,3.0,2015-11-20 10:31:21,108四人量，其实三个女生都不够了，两个女生吃不完，，服务挺好的
匿名用户,2.0,2015-11-22 17:16:06,味道比较一般，饮料太伤不起了，没啥味儿
飞蛾扑火2098,3.0,2015-11-22 00:18:23,来过几次，味道还行，就是里面服务一般，
蝴蝶幻魇,3.0,2015-11-18 20:18:50,火锅味道不错，服务也挺好，就是等了好一会儿
DanielFIVE,4.0,2015-11-20 08:31:21,总体上 口味很不错 饮料也是自助免费的
hef684223619,5.0,2015-11-23 14:46:06,还不错，第二次来了，没吃完，很好
wananwawa,5.0,2015-11-21 12:37:51,两个人吃了四人份 没吃完 味道很不错
言少于行,3.0,2015-11-15 13:01:50,菜品4个人吃肯定要加菜，2个人吃的很饱！锅底味道不错，吃的很过瘾！
匿名用户,1.0,2015-10-07 11:22:40,不好，吃到一半吃出了虫子，整个心情都没了，关键他家老板娘根本没有解决问题单位意思，随随便便说增了一盘南瓜饼就像解决这个事情，吃饭都吃到虫子了，尼玛你还能吃下去，最后排出一副就这样了，愿意怎么样就怎么样吧，无语，最后也就这样了，大家再去吃的时候多注意！
tgs880324,5.0,2015-11-21 20:54:09,可以的，同事们近20人吃的很爽
极速215,5.0,2015-11-19 17:32:53,老顾客了，这么多年一直钟情于临江门！
刘新蔚,5.0,2015-11-22 21:18:49,特别棒.超好吃的.每次必去..
xuans361,4.0,2015-11-14 22:02:37,牛羊肉都很新鲜，分量也足，就是锅底有点咸
傲娇小萝莉007,5.0,2015-11-19 17:22:30,很好，味道好，服务也很好，价格还便宜！
小库6,4.0,2015-11-14 14:32:48,老地方，经常去了！口味很正宗，调料丰富，人多的时候要排队。
跟往事干杯噢,4.0,2015-11-23 15:41:57,挺不错的 .....@!@!@!@!@!@
达人666,5.0,2015-11-12 16:31:41,火锅味道很正宗，量大，菜也很新鲜，服务周到，已经去两次了！
Amy666555,5.0,2015-11-11 15:10:05,味道很好，就是吃了之后会上火，不过可以吃清淡口味的，比较适合能吃辣的。
butterflymeng,3.0,2015-11-14 19:02:37,喜欢这种味道，比较正宗的重庆火锅，但人多，有点吵
水仙312,5.0,2015-11-13 18:40:41,好吃 吃过好几次了 楼上短发小姑娘态度很好
butterflymeng,3.0,2015-11-14 19:00:27,菜新鲜，味道好，就是人太多，要等，有点吵
_qqz2m1414848921,2.0,2015-11-14 12:39:00,味道还可以，就是上菜速度太慢了
匿名用户,4.0,2015-11-14 20:42:52,还不错，很正宗的重庆味，2个人吃还差不多，4个人不够吃的
yfsheng1999,5.0,2015-11-12 18:44:17,没什么好说的，不知道第几次去吃了，很推荐
MNk243396592,1.0,2016-05-31 16:39:16,量少，够一个人吃的，不怎么样！！！！！
毛毛890201,5.0,2015-11-10 15:49:46,很好吃 正宗的味道 2个人跟划算
匿名用户,4.0,2015-11-08 09:17:37,味道很好的，就是有点贵了，希望店里能便宜些
萌萌ｄｅ啾啾,3.0,2015-11-02 16:43:20,还可以吧，菜品新鲜，调料饮料自助的！
匿名用户,2.0,2015-09-07 21:38:07,味道一般般，酸梅汁也太贵了26元2小杯不怎么新鲜，还不如我去外面买的4元钱一大杯的好吃，价格小贵，团购去的3到4人吃，量小啊，不够我们两个小姑娘吃……
jjR179991249,5.0,2015-11-12 15:55:10,服务周到  价格优惠 味道很好。
AQb263310736,5.0,2015-11-07 13:26:22,味道不错，菜也新鲜，环境也不错，挺好的，来过好多次！！！
gHr15589756,5.0,2015-11-12 09:36:35,味道很赞哦，上菜也很快哦，赞一个
水仙312,5.0,2015-11-07 17:34:40,座位在靠马路对面 老板娘热情 …
wTO663037219,4.0,2015-11-07 12:47:14,位置挺好找，味道也不错，菜品挺新鲜。
zhanyjy0504,2.0,2016-05-31 16:39:16,一般般吧，表面看上去很冷清，环境很一般，人都在楼上，一楼是空的。
匿名用户,1.0,2015-11-06 13:19:30,菜量少 不值108 元的 味道也不怎么样
cqsure,1.0,2015-11-06 06:29:49,很差劲了，不好意思啊，真的差打到几点焦恩俊
Airlie,3.0,2015-11-01 19:26:06,经济实惠 就是感觉羊肉没什么羊肉味 牛肉味道还不错
水仙312,3.0,2015-11-08 21:53:30,要等位。等会好久了 菜挺好吃…
heimuchuimian,4.0,2015-10-25 15:06:48,虽然说是四人餐，但是我和我爸爸去吃也不够，还多点了一个蔬菜。味道爸爸说不错的，下次把麻麻也拉过去吃！
wwy橙324,4.0,2015-11-04 20:57:25,很好吃，妈妈和妹妹都喜欢吃，十分的划算
沈彦134,4.0,2015-09-03 12:21:17,挺超值的，味道不错，非常喜欢.
匿名用户,4.0,2015-11-01 10:57:17,吃火锅一直选这家，味道好，就是价格有点小贵
yOz848278115,4.0,2015-11-05 13:38:02,很喜欢的火锅，下次还会带着家人去吃！赞！
Gucci尼斯卡,2.0,2015-10-28 18:56:16,真心一般，菜品口味也一般，整个环境比较乱。反正也是路过去的
verygood111,4.0,2015-11-03 15:35:05,很不错，很实惠，便宜了好多钱呢
waitwang88,2.0,2015-10-19 11:53:08,口味：味道一般，勉强凑合吧服务：服务一般，勉强可以接受啦环境：环境一般，勉强可以接受啦推荐菜：临江嫩牛肉宽粉毛肚冻
Luk166967615,4.0,2015-11-01 20:16:13,不错，就是量不是很多，四个人，不够吃，其他都还不错。
XKU551232767,5.0,2015-10-16 20:45:53,来上海展会来上海展会总来说，嗯这边是你展会附近最好的一家火锅店了吃起来，嗯好嗯价格也比较实惠来的晚了需要排队。
dcq13611836725,3.0,2015-10-25 13:52:27,味道可以，但是店面比较卡哦，里面的装修也比较老，有些椅子都掉皮了
匿名用户,4.0,2015-09-05 12:54:09,老公说很好吃，套餐性价比很高，一家三口吃刚好，不需要等待位的，菜量也可以
Adin215,2.0,2016-05-31 16:56:58,两个人吃都不够的，口味尚可。。
匿名用户,4.0,2015-10-27 20:20:36,味道不错～没吃完～有点辣～人很多～服务员态度马马虎虎
JLF108804482,5.0,2015-11-01 16:33:37,挺好挺实惠的一次聚会下次还来还来
匿名用户,3.0,2015-10-27 16:24:25,还行。去的那天很多人，味道还可以。有机会再去。
纷繁间,5.0,2015-10-24 20:01:52,现在不在上海最想念他家的火锅了，很辣很好吃。调料也很划算
秦财神,4.0,2015-10-25 16:17:09,味道不错，正宗的火锅底料。环境一般。
EJR216119248,2.0,2015-10-27 14:13:37,吃倒吃不完，但菜不怎么样！还挺实惠的
匿名用户,2.0,2015-10-27 16:24:21,不是很好，不太好吃，量也少z z z x
水仙312,1.0,2016-05-31 16:56:58,吃了两次 每次都拉肚子 服了 啊啊啊
YL19950225,2.0,2015-10-25 09:07:02,好咸，感觉东西好贵哦，服务态度还行
宝宝宝宝1314520,4.0,2015-09-26 18:21:42,味道很正宗，吃的好爽，店家服务态度非常好！#临江麻辣锅# #鸭血# #油炸豆腐皮#
michelin1707,5.0,2015-10-24 06:05:20,一直去，喜欢，味道不错，环境也不错。。。。
养只狗狗名叫猫,4.0,2015-10-25 23:36:10,位置很好找，上菜很速度，口味很正。
匿名用户,3.0,2015-10-24 19:28:03,还好了，挺好的。建议3个女生去正好
云舒51515,5.0,2015-10-14 21:23:28,味道是真心的好吃啊，麻辣的很正宗，原味的汤也很香，还有免费饮料，强烈推荐！
冷暖自知Ys,4.0,2015-10-15 17:05:18,不错，服务员上菜很快而且环境还可以，就是团购有些东西不吃也不让换
王羽爱你额,5.0,2015-10-24 13:01:34,正宗重庆火锅，好吃的不要不要的.
zlj灵儿,4.0,2015-10-22 08:32:42,味道很好，就是量不是很多，团购很实惠
些爱,5.0,2015-10-22 17:55:37,口味一般，服务一般，菜也不多！
匿名用户,5.0,2015-10-22 17:33:32,团购去的，真的很实惠，口味也不错
匿名用户,3.0,2015-07-26 00:16:41,#四川宽粉# #鸭血# #油炸豆腐皮# 味道还不错，辣锅底还是挺辣的，配上清汤觉得还是很好的。宽宽的那个粉条不知道是宽粉还是粉条，很好吃。羊肉的膻味有点重，不是很喜欢。两个人吃的是四人份的团购，可能我们比较能吃吧，分量刚刚好。
职业高空武术家,2.0,2015-10-14 19:41:50,菜品一般鸭血是血粉的，酥肉变成了凉菜，不过锅底口味还可以
nuanfeng0000,4.0,2015-10-17 13:54:16,味道不错 吃着口感好 希望继续努力更上一层楼
虎虎王,3.0,2015-10-16 20:11:08,四个人吃是肯定不够的，两个人刚好。味道很不错
洛城故事,2.0,2015-10-20 17:11:18,感觉一般般吧。一次后就不想去了
水仙312,1.0,2016-05-31 16:56:58,回来就开始拉肚子…拉了一天了  脱水了快 服了
V一壶好酒V,3.0,2015-10-15 13:07:45,我嘴比较叼，口味一般般，环境一般般，凑合凑合吧
MCt703257408,2.0,2016-05-31 16:56:58,比之前差太多啦 菜都不怎么新鲜的 不过味道还说的过去
Sky.486,4.0,2015-10-17 19:23:41,口味还不错，喜欢吃辣的超适合来这家吃。。
eJR903113722,3.0,2015-10-15 10:46:54,去过几次了，团购比较实惠！环境一般！
Sky.486,3.0,2015-10-17 19:23:22,口味还不错，喜欢吃辣的超适合来这家吃。。
匿名用户,3.0,2015-10-11 10:50:10,菜可以，人很多，个别感觉不太卫生，总体还行。
嗣婻,3.0,2015-10-19 16:24:23,还行一般般！！！         ..............
老郁yu,3.0,2015-10-10 10:09:45,不错，味道挺好，服务也不错，，自己带着小伙伴又去过一次了。
tanrenfeng,4.0,2015-10-12 08:43:49,服务很好！菜品也很不错，两个人吃到撑了。
匿名用户,1.0,2015-10-06 12:48:22,口味就那样了，兄弟三个吃了火锅，回来肚子都不舒服，不仅如此，我还拉稀了，真难受
ABu493348486,4.0,2015-10-12 11:52:51,好已经是不止一次团购了以后还会再来
带你去兜风M,3.0,2015-10-12 09:35:53,一直去吃.味道还不错.团购也蛮划算的
匿名用户,3.0,2015-10-13 09:45:35,味道可以，环境需要提升！还是很喜欢的味道的！
He090807,5.0,2015-10-08 20:44:09,位置很好找，上菜速度很快，味道很不错，量不是很多
ytl603462010,4.0,2015-10-02 12:28:14,火锅总体上来说还是不错的，人多生意旺，饮料任喝就是太甜了，受不了
monicabairu,4.0,2015-09-25 12:53:50,味道不错哦，已经去过两次了，就是调料感觉有点油，锅底挺好的，两个人可以吃很饱
Rll丽丽,4.0,2015-10-10 13:01:20,很棒，生意很火爆，都没位置了。
jOl153536693,4.0,2015-10-09 11:30:27,离家近   味道也不错  就是量太少了
jLL228982785,5.0,2015-10-07 18:07:18,菜不错，海鲜锅底很棒，饮料畅饮，很满意
YeH554139167,4.0,2015-10-07 17:14:02,好吃 好吃 两个人去 不够 另外点了好多
XgZ237058343,3.0,2015-10-04 16:51:11,交通还是比较方便，味道也还可以，性价比比较高
飞蛾扑火2098,3.0,2015-10-03 19:08:54,还不是很地道的重庆火锅，可能我要求过高吧，总体不错，哈哈
拿着你的手,4.0,2015-10-04 19:16:48,中午去吃，调料都是剩的，建议晚上去，吃过很多次了，还可以
MCR2018,4.0,2015-10-06 14:46:50,这家店很上档次啊！挺好吃的呢！
quQ27131993,3.0,2015-09-24 20:47:29,这家店刚来上海就来吃了，不错，味道还是那样，十多年了，分量足，四个人吃还需要稍微点些别的
匿名用户,4.0,2015-10-06 14:14:09,锅底超棒，东西也很好吃，两个人吃，吃到撑
yOz848278115,3.0,2015-10-05 15:05:28,去的早，没排队，味道很喜欢！下次还想去！
ZgI357378832,2.0,2015-10-03 22:44:48,一般般吧。。服务员有点少。。都找不到人
Xol949829907,4.0,2015-10-03 08:43:33,比较正宗的味道 ，麻辣也适中 ，多年来还是老味道，很喜欢 。
