poi_id,177620769
juju卑微,5.0,两个人一共消费300，用代金券还挺划算。餐厅很大很干净而且服务好！服务生都挺负责的，堪比海底捞啊。自助小料也挺全的，有免费的黑米粥、银耳汤、小菜、水果和汤以及薏米水。吃的牛腩锅底，里面肉挺多的，推荐吊龙和手切。可以要小份的都，一盘量也不少了。还会再光顾！超级满意。
juju卑微,5.0,门店位置很好找，虽然是工作日，但是人很多估计周末需要排号。环境非常非常好，一点不逊色海底捞。服务生也都很负责任！菜品都是一如既往的好，肉会帮助涮好，手打牛肉丸真的特别推荐！很好吃！有免费的小菜和免费水果。推荐牛腩锅底，吊龙！还会再来！
大孙哥998,2.0,不好吃，味道一般般，但是服务确实不错
匿名用户,3.0,菜品很好  服务态度很好  卫生也很干净   下次有机会还会去的 #嫩肉# #手打鲜牛肉丸#
iLc810551539,5.0,味道很好，很好吃吃了好几次
姜中贤i,5.0,菜肉都没的说，吃了很多次火锅咯，这家很是不错哦，有自己特色，而且服务态度更是没的说，特别到位哦，下次一定还会再来的哈哈，在美团上不是经常评论的，但是这家确实让我感觉很是不错
lienrum,4.0,非常好，服务不比海底捞差，个人很喜欢吃他家的火锅，鲜香，价格还可以有点小贵能接受
aNE835128555,3.0,还可以吧，就是没有红汤锅有点失望哦
默默沧龙,4.0,挺不错的服务跟海底捞学习，但是环境不怎么样，
QEV720594814,3.0,牛肉不错！环境挺好！        ，，，，。。。。，，
匿名用户,4.0,菜都还不错，但是服务没有之前好，想喝白开水跟服务员说了，到走也没给上…
linxudong0905,5.0,都很好
caizj1980,3.0,挺好的，布局有待合理化！！！！！
高飞儿飞,5.0,菜品不错，服务很棒~服务员阿姨亲力亲为，态度特别好，感动，点赞~
NVP542705636,5.0,环境很好，小孩超喜欢，第一次来时就记住了唐阿姨，以后每次来都找她，一说聚餐去哪，就是聚焦，味道也不错，吊龙，嫩豆腐，豆皮是我的最爱啊
RYQ676822335,4.0,很有特色的火锅，喜欢吃鲜牛肉丸，Q弹，人很多很热闹，幸好提前订了座位，卫生间服务人员非常热情，给个大大的赞👍
tianye19831024,5.0,菜品味道很赞，重点说一下他家的服务，非常周到。有专属儿童的游客场地，尽管地方不大，但是有很多玩具，孩子非常喜欢，同时服务人员的服务非常热情和细心。大人和孩子都非常喜欢
程蓝颜,5.0,【口味】非常好吃😋小雪服务非常好下次还会再来。 #吊龙# #嫩肉# #牛舌# #秘制牛肉#
JYB515963332,5.0,菜品丰富，味道赞，服务很是周到，尤其是洗手间处服务的阿姨很贴心哦！还有带宝宝来的不用担心没处安抚他们的情绪啦！
王博jack,4.0,还行，很多人没有了，没有在北京吃的那么惊艳
seanlan888,4.0,健康食品，味道没有特别的，跟老城一锅比东西偏贵但免费东西不少！服务还是周到，位置不好找！下次去隔壁诺德中心三期四合欣园老城一锅试试，比较一下！
小团0726,2.0,没有评价中的那么好吃，肉也一般
NjC630063759,4.0,菜品不错，服务周到，服务员小雪对顾客服务耐心细致，有求必应，赞，赞，赞。
qlA575496825,5.0,非常好，口味好，服务更好
贾贾国兴,5.0,味道鲜美！服务周到！都吃干净啦！
皇城一霸,4.0,味道不错，喜欢潮汕火锅的可以尝尝
giZ401632590,3.0,菜挺好  就是稍微贵点................
匿名用户,5.0,服务态度特别好味道也很好非常推荐
匿名用户,5.0,服务特别棒，尤其送牛鞭汤的那位大叔服务员特别逗
感叹号195,3.0,去的有点晚了，东西不多，建议免费取的可以单独点。
jojo_9018,4.0,喜欢他家汤底，牛肉质感也还好。推荐牛肉丸 #手打鲜牛肉丸#
UrH105356652,3.0,菜还好，人多了排队很久，服务质量就有所下降
RonanRubinstein,3.0,聚焦的价格肯定不能算便宜，今年因为在单位附近所以一年怎么也会去个几次。环境还可以，没有那么大的火锅味，服务也还不错。菜品的话个人没有很特别的感觉，中规中矩吧。 #炸腐皮#
fan888688888,5.0,不错，服务好，菜品新鲜！
giN535077623,5.0,牛脊肉巨好吃，服务员小姐姐超棒！
吴佩月,5.0,最喜欢他们的金龙背筋  吊龙
匿名用户,5.0,丸子很好吃啊，很劲道，不足是菜品有点少，总体体验还不错😄 值得去
斌彬—B,5.0,肉没的说，服务生特别亲和，态度好，而且吃饭期间不但服务你涮锅，还中间送来潮山山茶供你品尝
furongyiran,2.0,不喜欢，没啥特色。。。，。。！！！！！！
caoli1979,5.0,牛肉味道超级赞！好多牛肉的部位都是没吃过的。服务员非常热情，卫生间的服务大姐，服务特别周到。
JYB515963332,5.0,环境舒适，服务舒心，菜品新鲜。
大Q糖,5.0, #手打鲜牛肉丸# #吊龙# #牛底清汤锅# #水果# #牛黄喉# #牛腩肉# #自助凉菜#
宇文唐芊,5.0,服务特别好，火锅清单，肉质好。临走去卫生间服务人员不是拖地是在抹地，而且洗手时帮你挤洗手液，帮忙递纸，并且给你挤护手霜，这个真的是惊到我了，第一次吃火锅，有这个待遇，太赞了，如果有机会我肯定还会再来的。棒
mine798,4.0,饭店环境挺好的 装潢很好看 女卫生间的阿姨服务特别热情 尤其一位姓唐的保洁员阿姨 有机会还会再去的
gKU737610521,5.0,【服务】服务态度很好，真心话。 #吊龙# #嫩肉# #极品五花腱#
zhangjuan2888,5.0,服务超好，比海底捞都好，牛肉好吃，味道不错
MarkEdward,4.0,洗手间服务唐女士服务特别特别热情，很满意。
YdK168399924,4.0,"好👌
【口味】
【环境】
【服务】
【等位】"
CiK374973169,5.0,服务很好、环境好、菜品也不错👍
小紫贝520,2.0,环境一般，味道相当一般，骨汤和清水一般。服务还可以。尤其是洗手间的阿姨居然用手拿抹布擦地板，相当敬业，但个人觉得拿拖把就很OK了，看着觉得很心疼并觉得没必要这样。
吃大蒜的小仙女,5.0,服务太满意
OQg441877914,2.0,清淡火锅为主～～～～～～～～～～
湮雨精忠报国,4.0,真的不错，有小凉菜和粥什么的，味道也不错，服务不错
Babyibsj,4.0,各类牛的肉都非常棒 自助式调料和凉菜，服务非常到位 蔬菜和肉类比较新鲜 单点的啤酒配火锅 #牛舌# #吊龙#
ricym_lb,5.0,特别好吃 服务特别周到 下次还来这吃 #吊龙# #手打鲜牛肉丸#
be。water,3.0,服务特别好，有海底捞的感觉，味道嘛只能说一般般了，蘸料的味道很重要
sunchunli312,4.0,菜品味道很不错，服务热情周到，免费的小菜口味也超赞，下次还会再来。 #嫩肉# #吊龙#
FHe733991778,4.0,肉品嫰，服务态度好，环境也不错，就是青菜量有点小，希望改进，因为有素食人群
兰色透明,5.0,环境好，味道棒，服务也周到，就是等位时间有点长，好多人
Sabik9405,5.0,特别好
店小二9258,5.0,服务特别好，菜品新鲜肉也特别新鲜，值得推荐
HoneyDaer,2.0,火锅味道不是很好，新鲜倒是很新鲜。 吃着不是很香，菜品在分量多一点就好了
zzB753294984,5.0,特别特别好 ，推荐大家品尝牛肉丸🍡棒棒哒
mybaburuirui,5.0,主要是服务好，很贴心，给男士女士单独送了男士女士专用的饮品，很好，下次还去这家火锅店
qiao_gang,5.0,宾至如归
Ril427063064,4.0, #嫩肉# #牛筋丸#
EZs507291103,5.0,味道很好，服务更好，我们5个人吃了697用过代金券之后637，价位还可以，我们是在92号桌用的餐，姓赵的服务员强烈提出表扬，细致，耐心，服务周到！好评，值得推荐！！！
匿名用户,5.0,每次去北京都会光顾。非常满意。 #肥胼# #五花腱# #胸口朥# #牛舌#
