用户,星级,链接
匿名用户,5.0,超级棒！在网上找的图片，结果做的比图片还要好看，一点不输沙利文，而且实惠又好吃，十寸的只花了100块钱，好多水果和巧克力片，蛋糕中间还有椰果，很好吃！
多多益善li,4.0,味道挺好，口感不错，老板态度也很好。很满意
Sweety萌小萌,5.0,好评 挺好吃的
dXn392643702,4.0,很好，不错，便宜实惠
嗯！就这样。。,5.0,好，味道可以，服务态度很好，而且不是很贵
朱_二爷,4.0,订过几次了。老板人很好。蛋糕也不错
今天也很想喝奶茶,5.0,到店自取的，店家的服务态度超级赞，蛋糕的味道也很棒，水果种类很多而且新鲜，麻麻说以后蛋糕都在这买了
唐丹丹520,4.0,还可以吧 没图片上好看 不过速度很快 态度也不错 还帮我送到门口 谢谢🙏
七月二十4,3.0,还不错，很喜欢，以后会经常来的。。。
鹿哥sys,4.0,挺好的 经济实惠 味道不错 值得购买
团团花钱小丸子,5.0,老板态度很好，很有耐心，蛋糕味道也不错。好评！
朱_二爷,5.0,在这家一共买过三个蛋糕，老板人挺热情的，蛋糕也还挺好的！
RmF518078468,5.0,味道很好，很大一个
匿名用户,5.0,服务态度很棒，下次会再来，力荐
UMU214090509,5.0,老板态度很好 都是新鲜水果 味道真的很不错 超级赞
浮华半生倾城一世,5.0,味道还不错，经济实惠。下次再来
PJo694680791,5.0,非常棒的服务，蛋糕也好吃，给老板十二个赞！
人暖性子野,5.0,
shilr_100,5.0,
tnH884906099,5.0,
思念哥哥爱婵妹,5.0,
uom380842699,5.0,
轩哥超鬼了,5.0,
轩哥超鬼了,5.0,
lrT268864059,4.0,
匿名用户,5.0,
徽商金融,4.0,
WeA481919503,5.0,
Zfh750274349,5.0,
Fmj221725851,5.0,
轩哥超鬼了,5.0,
EjE484172313,4.0,
Mer_W,5.0,
Zfa643394890,5.0,
kYo682421096,5.0,
Fbi557462104,5.0,
tm0556,5.0,
匿名用户,5.0,
玉子卿,5.0,
