区域,北京,餐饮类型,火锅,店铺id,298462,店铺名称,东来顺（世界公园店）,经度,116.290989,纬度,39.813989
用户,星级,评论
csq66,5.0,值得推荐的商家，分量足，味道不错，五个人点了六人餐，剩下不少，都吃撑了
cheny327,2.0,在美团订的，肉质都不鲜美了，吃肉的时候就不想吃了
匿名用户,4.0,请朋友过来，还是不错的，下次还来 #烧饼# #东来顺手工鲜羊肉# #精选小肥羊#
匿名用户,3.0,上菜快，味道不错，人满为患，推荐!
匿名用户,4.0,哈，不错，挺好的，味道也可以
匿名用户,3.0,去世界公园溜达完来到这吃饭。整体来说还是挺不错的，上菜速度很快，菜码也很大，环境也还可以，就是隔壁桌有抽烟的，有点不太好。再就是冻豆腐的味道有点糊味道，其它的都还好。
vzC19834701,5.0,肉非常棒，不愧是老北京，非常好非常好吃
Taki0309,5.0,不错，经常吃这家
匿名用户,4.0,还不错，性价比比较高，三人团的四人餐够够的。美中不足就是肉稍显碎了些，不过价格实惠，也不能要求太多，要是能有个饮料就更好了！
小心朔朔,3.0,家附近途方面，带父母一起去吃的
阿丫丫鲁,1.0,菜品质量不好，不新鲜，特别是肉类，软趴趴的，筷子夹起来都是碎的
匿名用户,3.0,服务态度不好，说话特别硬的一个老阿姨。
luH670761673,3.0,总的来说整体给优，服务态度很好，食品也实惠。美中不足的是有隐形消费的感觉:上菜的时候，直接上了一壶玉米粥(后期再续一壶时也没有告知这个是需要另付费及实际价格)，我们以为是套餐里有的，服务员也没有提醒，等结账时告知这个48一壶不是套餐里的……建议管理层考虑改进加强培训，为我们东来顺大品牌服务打满分！
sIU633828730,5.0,环境好，服务好，干净上菜快，味道好。 #烧饼# #东来顺手工鲜羊肉# #至尊肥牛# #金牌羔羊# #白百叶# #羊肉串# #杂面# #精选羔羊肉#
匿名用户,1.0,味道如何已经忘记了，就记得，左右桌的客人来的时候我们这桌已经验完了团购券了，结果左右桌的客人都吃一大半了我这桌还只是上了小料，锅里的水都加三回了。找服务员理论，说忘了下单了。我也不想说啥了，是不是打出了品牌就真的只是靠名气来俘获客人没有好的服务了？完全忘了这顿饭到底是怎么吃的
wxb810302,3.0,团购的四人餐，又点了几个涮菜，肉还不错，价格实惠。
匿名用户,3.0,还不错，到点后人巨多，小火锅一开，感觉里面有点缺氧😀
zhH521656366,5.0, #精选羊上脑肉# #精选小肥羊# #东来顺手工鲜羊肉#
匿名用户,4.0,服务不错，口味不错，环境不错！
npb239135359,5.0,五个大人点了六人份，足够吃的，就是豆浆太贵了，一份75块，
明哲吃吃吃,4.0,麻酱味道和浓郁，很香。团购套餐份量两个人吃正好，最后还剩了半份杂面和粉丝，实在吃不下了。比较推荐，冬日吃。麻辣不辣，清汤就是水，太寡淡。建议直接上麻辣得了。位置在路口，人不拥挤，不用排队，里面热乎不会冷。 #精选小肥羊# #金牌羔羊# #肥牛上脑# #芝麻烧饼# #杂面#
npb239135359,5.0,回头客了，三个大人要了四人份足够吃，
梦想6349,3.0,这个店没在去过，不知道现在整改了嘛
匿名用户,1.0,套餐里的冻豆腐一股怪味，肉只有单单一层，还排出图案，少的要命～麻酱一碗，单要6元一份，青菜三样吧比这呷哺呷哺素菜搭配少多了哈哈，本以为套餐应该有一壶喝的，结果啥也没有
esd380711839,1.0,也许因为团购，菜品不少，但服务很差
匿名用户,4.0, #烧饼# #精选羔羊肉#
Pst279572149,4.0,离世界公园特别近  菜品不错  羊肉鲜嫩久煮不柴 #白百叶# #精选羊上脑肉# #芝麻烧饼# #五香咸鱼# #铜火锅涮羊肉#
匿名用户,4.0,从外面看，看起来挺大，就在马路边，很好找，也很好停车，进去后，环境不错，我们美团了四人餐，很划算，订好之后上菜很快快，我们三人，吃了四人份，可能我们北方人饭量大，除了饼子没吃，其他我们都吃完了，一上来的蘸料碗很可爱！
a429770067,3.0,感觉不如以前了。。肉也太碎了！
我类个去哟哟,1.0,菜不知道，还没有上。但是服务是真的差，
qjU4485920,2.0,人太多了，等上菜等半个多小时，水都烧干了
匿名用户,4.0,"【口味】肉超级嫩
【环境】来的时候有地方，冬天很暖和
【服务】小哥哥小姐姐态度超级好！
【等位】不用等位╮(‵▽′)╭ #烧饼# #精选羊上脑肉# #鸳鸯锅底# #精选羔羊肉# #糖蒜辣椒油#"
幽光繁城,5.0,非常不错。量大。六个人没吃完！ #烧饼# #东来顺手工鲜羊肉# #白百叶# #肥牛上脑#
百万大狗,5.0,三个人吃的，很好吃
