区域,北京,餐饮类型,烧烤烤串,店铺id,42081214,店铺名称,韩时烤肉（枫蓝国际购物中心店）,经度,116.356607,纬度,39.952606
bHv958193994,5,在枫蓝国际，一上电梯就到，环境很好，味道不错，第一次来，服务很热情。,,,,,,,,,
_qqcwx1439639535,5,吃起来不错，很实惠，就是我个人不对胃口,,,,,,,,,
cOf149959390,5,特别好吃，环境好，服务也很好。以后会经常光顾,,,,,,,,,
bHv958193994,5,好吃好吃，来过好几回了，环境好，菜品好，以后还会常来，南瓜粥真心的好喝啊,,,,,,,,,
XMz956519226,5,好的一如既往。四人不到二百四，有量有质。大头夸望京店，我家门口的枫蓝也很棒。,,,,,,,,,
Kxk815698053,4,挺爱吃他家的，算是比较正宗的韩国烤肉了,,,,,,,,,
臭屁811110,3,味道一般，服务非常好！量也够吃！,,,,,,,,,
wAa780164182,5,味道很棒，服务周到，环境不错。,,,,,,,,,
Joanzhu1991,5,一直很喜欢这家烤肉。棒棒哒！各种喜欢和推荐,,,,,,,,,
bHv958193994,5,又发现了一个很好吃的地方，环境好，服务好，推荐的五花肉是特色吃了四份特别香，还有南瓜粥好喝，,,,,,,,,,
bHv958193994,5,味道不错，不用自己动手，服务员全程烤肉，值得去吃，过生日送了长寿面和果盘。,,,,,,,,,
菲裳菲菲,5,真心觉得好，第二次去了，依旧是满意～好吃，还不用自己动手，哈哈,,,,,,,,,
bHv958193994,5,超级满意，价格合算，服务周到，服务员给我们烤肉、味道很好，都喜欢吃，完美。,,,,,,,,,
bHv958193994,5,第一次吃韩时烤肉，味道真的不错，量很大，两个女生都没有吃完，以后还会再来。,,,,,,,,,
mrE735513658,5,强烈推荐，好吃也划算，good,,,,,,,,,
彼岸花开不见ye,5,味道很不错，而且都是服务员给烤好了坐等着吃就行，菜量很大,,,,,,,,,
bHv958193994,5,口味不错，环境很干净，服务很耐心周到，烤肉很特色，还会再来。,,,,,,,,,
bHv958193994,5,口味不错，环境很干净，服务很耐心周到，烤肉很特色，还会再来。,,,,,,,,,
bHv958193994,5,口味不错，环境很干净，服务很耐心周到，烤肉很特色，还会再来。,,,,,,,,,
bHv958193994,5,口味不错，环境很干净，服务很耐心周到，烤肉很特色，还会再来。,,,,,,,,,
bHv958193994,5,口味不错，环境很干净，服务很耐心周到，烤肉很特色，还会再来。,,,,,,,,,
bHv958193994,5,排了半个小时吧！挺快的，吃的挺饱，经常来，必点这个套餐，味道不错。,,,,,,,,,
bHv958193994,5,来过好几次，团购很合适的，比单点划算的多，每个小菜也特别好吃，环境也很舒服。,,,,,,,,,
bHv958193994,5,量足，价格实惠，味道好，有专门的工作人员给烤肉,,,,,,,,,
HxI249279538,5,很喜欢吃，服务也很好，尤其南瓜粥，最爱，还免费滴，哈哈,,,,,,,,,
bHv958193994,5,烤肉很香，服务很不错，全程给我们烤肉，南瓜粥，土豆泥特好吃。,,,,,,,,,
匿名用户,4,很不错～吃的也很饱，服务态度也很好,,,,,,,,,
bHv958193994,5,不错，肉的质量很好，服务很贴心，白菜炒饭很香，味道不错。,,,,,,,,,
bHv958193994,5,味道不错，有个给烤方便多了，环境也不错，服务很好，团购很划算。,,,,,,,,,
哈密世界,4,两个人吃了一个套餐，烤肉味道很不错，服务也不错，吃的很舒服,,,,,,,,,
bHv958193994,5,南瓜粥很好喝，可以续加，服务员很热情，全程帮忙烤肉，很是享受,,,,,,,,,
HIw953859186,4,经常去，很喜欢这里的五花肉，服务好,,,,,,,,,
RQ19881010,4,口味不错，服务不错，环境不错。,,,,,,,,,
qwe75611372,5,好吃好吃   来过好几回了啊，环境好，菜品好，以后还会常来，南瓜粥真心好喝啊,,,,,,,,,
bHv958193994,5,位置好找，味道不错，五花肉很香，不用排队，服务非常好,,,,,,,,,
bHv958193994,5,味道不错，量很足，种类多，餐前的东西都免费，很不错的。可以再来。,,,,,,,,,
helenfruit,3,还不错，两个人，很饱，肉和南瓜粥都挺好，大拌菜不怎么新鲜。,,,,,,,,,
bHv958193994,5,泡菜炒饭超赞。 服务很好。 要什么上什么。  环境不错。  以后常来,,,,,,,,,
bHv958193994,5,很不错烤肉店，值得再来。泡菜喜欢，炒的饭超级的好吃。下次再来哦！,,,,,,,,,
bHv958193994,5,烤肉很精致，专门服务员给烤，很热心友善，环境干净舒服。,,,,,,,,,
bHv958193994,5,服务超级赞 小菜南瓜粥都可以免费加的 量很足三个女生吃的很撑 环境也不错,,,,,,,,,
匿名用户,5,第二次去~团购很便宜 吃的超级撑。。南瓜粥和小菜都是无限量供应而且味道超好 想要什么服务员就会拿什么  最后炒饭吃不完要打包 还主动帮我重新加小菜进去#鲜五花肉# #南瓜粥# #梅花肉#,,,,,,,,,
A小尾吧,5,朋友生日聚餐，定了一个包间，非常棒。值了。服务热情，南瓜粥不错,,,,,,,,,
bHv958193994,4,一如既往的好吃，服务也一流的好，味道特别棒，和室友一起去的，推荐！,,,,,,,,,
bHv958193994,5,菜品口味好，环境很干净，服务态度好，支持给赞！！！,,,,,,,,,
bHv958193994,5,菜品口味好，环境很干净，服务态度好，支持给赞！！！,,,,,,,,,
bHv958193994,5,菜品口味好，环境很干净，服务态度好，支持给赞！！！,,,,,,,,,
bHv958193994,5,菜品口味好，环境很干净，服务态度好，支持给赞！！！,,,,,,,,,
qbn519880494,4,烤肉不错  生菜免费加  服务也不错  四个人消费400  物美价廉  但是  最后的炒饭换成了果然  果盘简直弱爆了  西瓜个苹果  一共没几个,,,,,,,,,
妞妞：佳佳,4,干，很好，非常好！很满意的一次。,,,,,,,,,
bHv958193994,5,很不错的烤肉店，环境不错，不用自己动手烤肉，味道也不错，很享受的用餐,,,,,,,,,
bHv958193994,5,常去这家店，孩子家人都喜欢这里，服务好，烤肉也不错。,,,,,,,,,
bHv958193994,5,服务好不用自己烤肉，肉很新鲜，烤的很好吃，小菜不限量，挺棒的。,,,,,,,,,
匿名用户,3,不错，就是烤肉的有点慢，服务态度不错,,,,,,,,,
tRv237794879,4,非常不错，味道不错，服务也很好！,,,,,,,,,
bHv958193994,5,猪五花太好吃了，雪花三号也好吃，紫菜炒饭也很好吃，一个男服务员态度非常好。,,,,,,,,,
vampirehong,4,地方还是很好找的，我是坐车去的，离车站不远。提前先团了一张两人用的劵，也打电话询问了一下要不要预约，说是不用，不过还好亲去的早，要不然我们也要等位了呢！环境没的说，很干净，也不算小。服务质量更不用说，帮我们烤肉，我俩只负责吃就行，服务相当周到啊！如果两个人的话用这个劵量还是挺大的（两个女生的话），还是蛮不错的！,,,,,,,,,
bHv958193994,4,套餐超值，很划算，服务也好，全程给烤肉，不用自己动手。,,,,,,,,,
ee19880110,4,两人吃太多了肉，吃的好饱呢，建议3个人左右去吃饭呢,,,,,,,,,
bHv958193994,5,服务员很细心，烤肉很专业，烤肉特好吃，生菜可以无限续加，不油腻，两人吃的很舒服。,,,,,,,,,
bHv958193994,5,每次都吃的169套餐，服务到位，还办了吃值卡，会一直来,,,,,,,,,
菲裳菲菲,5,韩国烤肉，真心好吃，以后还会光顾的,,,,,,,,,
bHv958193994,5,服务态度很好，菜品美味，环境优雅，消费水平适中，值得推荐,,,,,,,,,
bHv958193994,5,这家店挺火的，东西好吃，服务周到，强烈推荐，,,,,,,,,,
bHv958193994,5,服务没得说，烤肉好吃，非常新鲜，五花肉肥瘦相间，有团购很超值。,,,,,,,,,
bHv958193994,5,菜品精致，服务很满意，环境也不错，给服务员赞，辛苦了。,,,,,,,,,
bHv958193994,5,套餐超值，很丰富，服务特好，都认识了，好办了充值卡。,,,,,,,,,
bHv958193994,5,位置好找。 五花肉不错。芝士玉米很好吃。推荐推荐,,,,,,,,,
塔塔塔_TA,5,服务员给烤肉，很贴心 肉也很鲜，烤的很好吃。小菜不限量，挺棒的。,,,,,,,,,
A小尾吧,5,中午吃了个工作餐，点了个石锅拌饭，服务员热情，喝了好多南瓜粥。赞,,,,,,,,,
nQZ454359912,5,我常去枫蓝国际的韩时，口味超赞，服务态度特别好！尤其是那位帅帅的小店助，把每位客人都能记住，根据客人的口味推荐菜品，下次再来！,,,,,,,,,
bHv958193994,5,五花肉特香，牛排，土豆泥都很不错，很舒服的用餐。,,,,,,,,,
bHv958193994,5,服务超赞，菜品很新鲜，口味喜欢，大爱烤五花肉,,,,,,,,,
bHv958193994,5,比较合适，够三个人吃的，服务不错，强烈推荐！！！,,,,,,,,,
bHv958193994,5,比较合适，够三个人吃的，服务不错，强烈推荐！！！,,,,,,,,,
bHv958193994,5,比较合适，够三个人吃的，服务不错，强烈推荐！！！,,,,,,,,,
bHv958193994,5,有韩国特色，口味不错，生菜都免费，还会再来。,,,,,,,,,
bHv958193994,5,比较合适，够三个人吃的，服务不错，强烈推荐！！！,,,,,,,,,
bHv958193994,5,服务态度好，肉质不错，很实惠，推荐大家品尝,,,,,,,,,
bHv958193994,5,口味很好，南瓜粥特好喝，还可以无限续加，服务也没得说很好，团购很实惠。还会再来哦,,,,,,,,,
bHv958193994,5,去晚了还要等位，等一会就吃上了，烤肉很细心，很专业，五花肉，牛排，对春鱼每次必店。,,,,,,,,,
bHv958193994,4,口味很好本人特爱吃，这里都是我们的食堂了，就在楼下，服务员都很好，每次去都满意。,,,,,,,,,
Hilily2015,5,真的好好，环境好，服务好，很好吃，强烈推荐！,,,,,,,,,
bHv958193994,5,服务态度好，菜品干净，都是服务员给烤，很不错，,,,,,,,,,
bHv958193994,5,热情服务非常贴心，烤肉还是一如既往的好吃。办了会员卡还会再去的,,,,,,,,,
A小尾吧,5,服务员特别棒，笑起来甜甜的，烤肉技术很到位，一边烤肉一边讲解。,,,,,,,,,
bHv958193994,5,服务还是一如既往的好，也合口味，很棒的烤肉店。,,,,,,,,,
bHv958193994,4,鲜五花，土豆泥很好吃，服务态度好，以后还来哦！,,,,,,,,,
bHv958193994,5,服务员态度好，烤肉很认真，办会员卡还送果汁,,,,,,,,,
bHv958193994,5,非常好的一家店，服务周到热情，老顾客了常来,,,,,,,,,
bHv958193994,5,是这家点的常客了，小菜可以随便吃，团购超划算,,,,,,,,,
bHv958193994,5,去好多次了，服务很周到，还送我们一份泡菜炒饭。,,,,,,,,,
bHv958193994,5,店铺不大，生意挺好，还排队，服务超棒很满意。,,,,,,,,,
MgE442731319,5,味道非常好  服务也很到位推荐,,,,,,,,,
bHv958193994,4,价格不贵，服务很好，口味也可以，生菜免费包着肉吃不腻。小菜特多。,,,,,,,,,
bHv958193994,5,办了储值卡还可以抽奖，其他的都很满意。就是没抽到大奖。,,,,,,,,,
bHv958193994,5,菜品口味好，环境很干净，服务员很是热情,,,,,,,,,
bHv958193994,5,去了很多家烤肉店，韩时真心推荐，办了会员卡还会再来,,,,,,,,,
bHv958193994,5,服务超级好，很热情，美女服务员还送我们泡菜炒饭。,,,,,,,,,
bHv958193994,5,店铺不大，服务很好，也合口味，以后还会光顾。,,,,,,,,,
bHv958193994,5,店里干净，团购超值，两人吃太多了吃不完，去晚了还要等位，人挺多，服务也很棒，还会再来。,,,,,,,,,
miss科科科,5,美团三年来不知道浪费了多少积分，自从知道了美团积分可以抵用钱的时候，才知道了评论的重要，,,,,,,,,,
A小尾吧,5,强烈推荐大酱汤和鲜五花肉，焦焦的特别好吃。棒棒的。点赞,,,,,,,,,
bHv958193994,5,很喜欢这里的服务，口味也不错，老顾客了会常来,,,,,,,,,
bHv958193994,5,很喜欢这里的服务，口味也不错，老顾客了会常来,,,,,,,,,
bHv958193994,5,很喜欢这里的服务，口味也不错，老顾客了会常来,,,,,,,,,
bHv958193994,5,很喜欢这里的服务，口味也不错，老顾客了会常来,,,,,,,,,
bHv958193994,5,烤肉不错，没有油烟，大爱五花肉，每次来就吃五花肉。,,,,,,,,,
bHv958193994,5,服务热情周到，口味不错，鲜五花特别好吃。,,,,,,,,,
bHv958193994,5,服务好，烤肉好吃，牛排是超赞的，优惠也多。,,,,,,,,,
bHv958193994,5,还不错三个人去吃的饱饱的，服务也很满意,,,,,,,,,
bHv958193994,5,离家近，肉很厚实，和媳妇常去，服务很真诚,,,,,,,,,
bHv958193994,5,第一次来，感觉还不错，烤肉很不错，服务也很好。,,,,,,,,,
