k4GtgsC8YoZhHYTA,金仲帮中餐厅,"['回头客(67)', '上菜快(39)', '不用排队(19)', '发发呆(8)', '有萌宠(6)', '弄堂小店(121)', '到店自提(45)', '朋友聚餐(16)', '隐于浮世(12)', '家庭聚餐(8)']"
l8N2vakmXQTsTNHi,香芙茗茶楼,"['回头客(588)', '上菜快(247)', '停车方便(80)', '不用排队(36)', '夜景赞(4)', '到店自提(88)', '朋友聚餐(82)', '下午茶(72)', '别墅(5)', '店内消毒(2)']"
H7yCO6NDy78aTeHK,澳骄 Aussie Kitchen(国大店),"['回头客(53)', '上菜快(40)', '不用排队(15)', '停车方便(7)', '发发呆(7)', '闺蜜聚会(28)', '到店自提(26)', '朋友聚餐(23)', '下午茶(4)', '店内消毒(3)']"
k7QEt3gjxITqpoVC,小合妖烤鱼·烧烤•牛蛙(老店),"['回头客(46)', '上菜快(26)', '不用排队(5)', '深夜食堂(66)', '到店自提(52)', '朋友聚餐(32)', '请客(5)', '闺蜜聚会(3)', '现做现卖(3)', '公司聚餐(3)']"
G8fPMbmuD77QcNBL,老鸭集(西溪龙湖天街店),"['菜品健康(207)', '回头客(106)', '不用排队(81)', '上菜快(25)', '停车方便(4)', '到店自提(303)', '朋友聚餐(33)', '店内消毒(21)', '家庭聚餐(14)', '下午茶(4)']"
k2X6c6nwGxwD2AA8,越英核桃酒,"['回头客(104)', '不用排队(7)', '到店自提(99)', '弄堂小店(58)', '朋友聚餐(37)', '闺蜜聚会(21)', '文艺清新(17)', '店内消毒(5)', '下午茶(4)']"
k2ZcB3c5CzX7YcYM,304/BRUNCHRESTAURANT,"['菜品健康(442)', '回头客(297)', '不用排队(170)', '停车方便(10)', 'Brunch(1928)', '下午茶(539)', '闺蜜聚会(417)', '到店自提(104)', '店内消毒(13)']"
izUpYoUGSBBoG9VH,曼陀林餐厅(西湖虎跑店),"['停车方便(43)', '不用排队(12)', '夜景赞(3)', '下午茶(535)', '闺蜜聚会(61)', '朋友聚餐(47)', '别墅(38)', '文艺清新(32)', '到店自提(11)']"
kaOqTKYKbTW7sE9h,海盗鲜生(新塘店),"['回头客(111)', '不用排队(22)', '有表演(4)', '深夜食堂(116)', '朋友聚餐(66)', '公司聚餐(64)', '到店自提(34)', '弄堂小店(32)', '店内消毒(1)']"
l3L8sRzF6E4Kb28S,食不食货(西湖大道店),"['回头客(139)', '上菜快(25)', '不用排队(19)', '停车方便(17)', '弄堂小店(131)', '深夜食堂(106)', '到店自提(44)', '朋友聚餐(20)', '闺蜜聚会(12)', '店内消毒(1)']"
H4OrMrxzGecgZlXZ,竹哩(滨江店),"['菜品健康(1118)', '上菜快(391)', '回头客(309)', '停车方便(49)', '不用排队(19)', '公司聚餐(159)', '朋友聚餐(153)', '到店自提(44)', '店内消毒(15)', '下午茶(11)']"
